PitchNo,PAofInning,PitchofPA,Pitcher,PitcherThrows,PitcherTeam,Batter,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0
159,4,5,Pitcher_6,Right,1,Batter_4,Right,2,Stretch,5,Top,1,2,2,Slider,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,83.96590881,-0.499246224,-4.346996737,2662.547989,132.3435421,10:30,5.655539131,2.436244566,6.175623457,-35.27110657,3.931813843,-4.354861987,2.253945523,-1.448301831,77.27618037,-7.107560994,-5.1651822,0.450641028,,,,,,,,,,,,1.165576341,2.281156556,-2.105451057,50,5.599708683,9.396014009,-121.9460869,-2.088149465,1.75560894,23.92215099,-28.73813561
160,4,6,Pitcher_6,Right,1,Batter_4,Right,2,Stretch,5,Top,1,3,2,Fastball,Undefined,FoulBall,Undefined,Undefined,Undefined,0,0,,96.29907257,-1.372225351,-3.089690774,2349.124099,223.0752123,1:30,6.104229824,2.251802201,6.572853092,-11.96133413,17.46986667,16.35971398,3.847811114,1.280831596,87.42648018,-3.655566674,0.033978928,0.390459064,,,,,,,,,,,,-9.968394365,10.07625697,-2.046910571,50,6.004968485,7.06061832,-140.0609116,-3.725196118,-19.68541179,33.36662078,-12.27563157
161,4,7,Pitcher_6,Right,1,Batter_4,Right,2,Stretch,5,Top,1,3,2,Fastball,Undefined,InPlay,Undefined,Popup,Out,1,0,,97.68934731,-2.034822278,-2.809915806,2372.856087,218.4304567,1:15,6.058587442,2.071559758,6.516652636,-10.365011,18.41470991,14.63273435,3.3250041,1.210995521,88.34896552,-4.014717646,-0.012440374,0.386113341,,,,,,,,,,,,-8.956976269,10.81038798,-1.882533652,50,5.912442686,6.513591384,-142.0200429,-5.375647607,-18.10700135,35.62346917,-10.3202774
162,5,1,Pitcher_6,Right,1,Batter_8,Left,2,Stretch,5,Top,2,0,0,ChangeUp,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,86.4522947,-0.40376462,-6.347954468,1944.231058,260.14641,2:45,5.428186553,2.638820176,6.542336465,-33.02208044,3.683197719,21.40386099,2.303813098,-0.922393034,78.97854363,-6.661280812,-2.295481319,0.436049485,,,,,,,,,,,,-13.59718612,2.147292183,-2.208065639,50,5.385787642,13.33946826,-125.2177876,-1.799353607,-21.58207616,25.35320521,-28.76576812
163,5,2,Pitcher_6,Right,1,Batter_8,Left,2,Stretch,5,Top,2,1,0,Fastball,Undefined,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,96.84008413,-2.412679382,-3.283433763,2400.4805,235.026868,1:45,5.928474353,2.404680227,6.419695474,-16.49355942,12.58491108,18.03015092,2.33151325,1.386020779,88.84537792,-5.529709705,0.133345194,0.388112203,,,,,,,,,,,,-10.78211578,7.558915004,-2.179029857,50,5.748748683,7.500533719,-140.7823895,-6.468485311,-21.71944964,30.85052722,-16.94740129
164,5,3,Pitcher_6,Right,1,Batter_8,Left,2,Stretch,5,Top,2,1,1,Fastball,Undefined,FoulBall,Undefined,Undefined,Undefined,0,0,,96.94473024,-2.635534056,-3.858066336,2395.813937,217.0757283,1:15,5.957927553,2.464658358,6.50279646,-9.221161182,19.97464889,15.11415339,2.763747923,0.678386811,88.01226114,-4.393620928,-0.97984421,0.388894484,,,,,,,,,,,,-9.475947144,11.8018615,-2.201896143,50,5.769542183,9.021815702,-140.7658116,-6.781780442,-18.91490864,33.49709093,-8.616389499
165,5,4,Pitcher_6,Right,1,Batter_8,Left,2,Stretch,5,Top,2,1,2,Slider,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,84.20022726,1.366837287,-0.958311412,1348.46441,141.6884396,10:45,5.522805509,2.657782953,6.352782669,-31.01777012,7.34766297,-5.833741961,4.19628743,1.789634822,77.41169667,-4.494380582,-2.062244178,0.445801547,,,,,,,,,,,,2.942596941,3.663934826,-2.585669645,50,5.606965551,2.216585257,-122.6609435,2.050878956,4.504827615,23.16396924,-26.56492331
166,5,5,Pitcher_6,Right,1,Batter_8,Left,2,Stretch,5,Top,2,2,2,Slider,Undefined,FoulBall,Undefined,Undefined,Undefined,0,0,,84.53040528,-0.023076813,-3.566919678,2593.027096,141.2370793,10:45,5.505732805,2.702943069,6.324720711,-33.20113923,4.965875079,-4.016192134,2.717681385,-0.420322902,78.11281283,-6.259151953,-4.322853214,0.444647252,,,,,,,,,,,,1.270926441,2.722426474,-2.440866303,50,5.488030798,7.779460314,-122.9632334,-0.996519342,1.95855131,22.8927464,-27.97867441
167,5,6,Pitcher_6,Right,1,Batter_8,Left,2,Stretch,5,Top,2,2,2,Fastball,Undefined,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,96.60126886,-2.040946813,-2.628338416,2342.543277,232.8279012,1:45,5.768593352,2.44570344,6.550614129,-16.17104156,12.9687102,17.13906446,2.547035232,1.962518784,88.29108459,-5.111836475,0.636069547,0.38852095,,,,,,,,,,,,-10.20643943,7.738036189,-2.271915336,50,5.620778846,5.921934957,-140.5442722,-5.513632057,-20.39740903,32.102323,-16.70970467
168,1,1,Pitcher_4,Right,2,Batter_14,Right,1,Windup,5,Bottom,0,0,0,Fastball,Undefined,FoulBall,Undefined,Undefined,Undefined,0,0,,93.03793531,-2.891300432,-1.385919994,2211.552372,187.1318779,12:15,7.40282604,1.044403658,6.374436934,-7.711301945,23.83472162,2.985950342,4.09744762,0.518064959,85.15748452,-4.348631085,-0.819696371,0.40424423,,,,,,,,,,,,-2.015233455,13.86303957,-0.946044716,50,7.190878418,3.182420593,-135.3619807,-7.077346485,-3.74662939,28.98429839,-6.400522741
169,1,2,Pitcher_4,Right,2,Batter_14,Right,1,Windup,5,Bottom,0,0,1,ChangeUp,Undefined,FoulBall,Undefined,Undefined,Undefined,0,0,,87.07620634,-3.725805516,-1.881439038,1686.524594,219.7757862,1:15,7.228807924,1.42952827,6.882670065,-19.85425754,15.73001235,13.12234542,2.173310548,1.30837849,79.63096916,-7.503350115,0.638612985,0.429339205,102.2920231,-4.491452514,-57.52901764,,,,,22.95624678,20.81457854,-54.32481577,0.151455688,-7.893690041,9.893030858,-1.315577362,50,6.985980478,3.821070904,-126.6047238,-8.759937035,-12.75139612,26.99103929,-16.19293521
170,1,3,Pitcher_4,Right,2,Batter_14,Right,1,Windup,5,Bottom,0,0,2,Fastball,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,94.68209365,-4.838621726,-1.975126328,2216.07467,189.5973217,12:15,7.290994415,0.827883444,6.596503286,-10.4040518,19.99050054,3.38501108,1.978447586,-0.200029082,86.71430494,-6.802260958,-1.33042458,0.396797926,,,,,,,,,,,,-2.419568705,12.40272593,-0.694772157,50,6.956124721,4.638070914,-137.4313893,-11.95232276,-4.629451071,30.338562,-8.443450327
171,1,4,Pitcher_4,Right,2,Batter_14,Right,1,Windup,5,Bottom,0,1,2,Curveball,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,78.05560731,-2.484154865,-0.989587099,2726.918558,15.02253082,6:30,7.27782653,1.082210125,6.296827627,-56.51008328,-10.91316321,-2.917267923,0.278316887,0.427344069,72.01718192,-13.04558832,-1.546566224,0.486003361,,,,,,,,,,,,1.2842869,-5.195181807,-1.008243071,50,7.06842391,2.036163141,-113.4846568,-6.394619977,1.649919598,23.65271698,-38.84828332
172,1,5,Pitcher_4,Right,2,Batter_14,Right,1,Windup,5,Bottom,0,2,2,Fastball,Undefined,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,94.94446398,-3.837057756,-2.4679591,2263.331011,194.5526815,12:30,7.228192522,0.781994657,6.822323516,-11.83423886,18.16836113,4.723807446,2.733764228,-0.576751476,86.6398866,-6.090557689,-1.563192272,0.394231175,,,,,,,,,,,,-3.3491821,11.2525707,-0.625358948,50,6.976963853,5.811989384,-137.96849,-9.599147721,-6.432661644,31.71567763,-10.56161371
